# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-7 -9 0 ffffff
-6 -9 0 ffffff
-5 -9 0 ffffff
-4 -9 0 ffffff
-3 -9 0 ffffff
-2 -9 0 ffffff
-1 -9 0 ffffff
-7 -8 0 ffffff
-6 -8 0 ffffff
-5 -8 0 ffffff
-4 -8 0 ffffff
-3 -8 0 ffffff
-2 -8 0 ffffff
-1 -8 0 ffffff
-7 -7 0 ffffff
-6 -7 0 ffffff
-5 -7 0 ffffff
-4 -7 0 ffffff
-3 -7 0 ffffff
-2 -7 0 ffffff
-1 -7 0 ffffff
-7 -6 0 ffffff
-6 -6 0 ffffff
-5 -6 0 ffffff
-4 -6 0 000000
-3 -6 0 ffffff
-2 -6 0 ffffff
-1 -6 0 ffffff
-7 -5 0 ffffff
-6 -5 0 ffffff
-5 -5 0 ffffff
-4 -5 0 ffffff
-3 -5 0 ffffff
-2 -5 0 ffffff
-1 -5 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-5 -4 0 ffffff
-4 -4 0 ffffff
-3 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-7 -9 1 ffffff
-6 -9 1 ffffff
-5 -9 1 ffffff
-4 -9 1 ffffff
-3 -9 1 ffffff
-2 -9 1 ffffff
-1 -9 1 ffffff
-7 -8 1 ffffff
-1 -8 1 ffffff
-7 -7 1 ffffff
-1 -7 1 ffffff
-7 -6 1 ffffff
-1 -6 1 ffffff
-7 -5 1 ffffff
-1 -5 1 ffffff
-7 -4 1 ffffff
-1 -4 1 ffffff
-7 -3 1 ffffff
-1 -3 1 ffffff
-7 -2 1 ffffff
-1 -2 1 ffffff
-7 -1 1 ffffff
-1 -1 1 ffffff
-7 0 0 ffffff
-6 0 0 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-7 1 0 ffffff
-6 1 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
-7 2 0 ffffff
-6 2 0 ffffff
-5 2 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-1 2 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-5 3 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-7 4 0 ffffff
-6 4 0 ffffff
-5 4 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-7 5 0 ffffff
-6 5 0 ffffff
-5 5 0 ffffff
-4 5 0 ffffff
-3 5 0 ffffff
-2 5 0 ffffff
-1 5 0 ffffff
-7 6 0 ffffff
-6 6 0 ffffff
-5 6 0 ffffff
-4 6 0 ffffff
-3 6 0 ffffff
-2 6 0 ffffff
-1 6 0 ffffff
-7 7 0 ffffff
-6 7 0 ffffff
-5 7 0 ffffff
-4 7 0 ffffff
-3 7 0 ffffff
-2 7 0 ffffff
-1 7 0 ffffff
-7 8 0 ffffff
-6 8 0 ffffff
-5 8 0 ffffff
-4 8 0 ffffff
-3 8 0 ffffff
-2 8 0 ffffff
-1 8 0 ffffff
-7 9 0 ffffff
-6 9 0 ffffff
-5 9 0 ffffff
-4 9 0 ffffff
-3 9 0 ffffff
-2 9 0 ffffff
-1 9 0 ffffff
-7 0 1 ffffff
-1 0 1 ffffff
-7 1 1 ffffff
-1 1 1 ffffff
-7 2 1 ffffff
-1 2 1 ffffff
-7 3 1 ffffff
-1 3 1 ffffff
-7 4 1 ffffff
-1 4 1 ffffff
-7 5 1 ffffff
-1 5 1 ffffff
-7 6 1 ffffff
-4 6 1 8a6f30
-1 6 1 ffffff
-7 7 1 ffffff
-1 7 1 ffffff
-7 8 1 ffffff
-1 8 1 ffffff
-7 9 1 ffffff
-6 9 1 ffffff
-5 9 1 ffffff
-4 9 1 ffffff
-3 9 1 ffffff
-2 9 1 ffffff
-1 9 1 ffffff
