# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 000000
-7 -3 1 ffffff
-6 -3 1 ffffff
-5 -3 1 ffffff
-4 -3 1 ffffff
-3 -3 1 ffffff
-2 -3 1 ffffff
-1 -3 1 ffffff
-7 -2 1 ffffff
-6 -2 1 ffffff
-5 -2 1 696a6a
-7 -1 1 ffffff
-6 -1 1 ffffff
-5 -1 1 696a6a
-7 -3 2 ffffff
-6 -3 2 696a6a
-7 -2 2 ffffff
-6 -2 2 696a6a
-7 -1 2 ffffff
-6 -1 2 696a6a
-7 -3 3 696a6a
-7 -2 3 696a6a
-7 -1 3 696a6a
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
5 -3 0 ffffff
6 -3 0 ffffff
7 -3 0 ffffff
8 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
2 -2 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
5 -2 0 ffffff
6 -2 0 ffffff
7 -2 0 ffffff
8 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
5 -1 0 ffffff
6 -1 0 ffffff
7 -1 0 ffffff
8 -1 0 ffffff
0 -3 1 ffffff
1 -3 1 ffffff
2 -3 1 ffffff
3 -3 1 ffffff
4 -3 1 ffffff
5 -3 1 ffffff
6 -3 1 ffffff
7 -3 1 ffffff
8 -3 1 ffffff
1 -2 1 ffffff
8 -2 1 ffffff
1 -1 1 ffffff
6 -1 1 8a6f30
8 -1 1 ffffff
1 -3 2 ffffff
2 -3 2 ffffff
3 -3 2 ffffff
4 -3 2 ffffff
5 -3 2 ffffff
6 -3 2 ffffff
7 -3 2 ffffff
8 -3 2 ffffff
1 -2 2 ffffff
8 -2 2 ffffff
1 -1 2 ffffff
8 -1 2 ffffff
1 -3 3 ffffff
2 -3 3 ffffff
3 -3 3 ffffff
4 -3 3 ffffff
5 -3 3 ffffff
6 -3 3 ffffff
7 -3 3 ffffff
8 -3 3 ffffff
1 -2 3 ffffff
8 -2 3 ffffff
1 -1 3 ffffff
8 -1 3 ffffff
1 -3 4 ffffff
2 -3 4 ffffff
3 -3 4 ffffff
4 -3 4 ffffff
5 -3 4 ffffff
6 -3 4 ffffff
7 -3 4 ffffff
8 -3 4 ffffff
1 -2 4 ffffff
8 -2 4 ffffff
1 -1 4 ffffff
8 -1 4 ffffff
1 -3 5 ffffff
2 -3 5 ffffff
3 -3 5 ffffff
4 -3 5 ffffff
5 -3 5 ffffff
6 -3 5 ffffff
7 -3 5 ffffff
8 -3 5 ffffff
1 -2 5 ffffff
8 -2 5 ffffff
1 -1 5 ffffff
8 -1 5 ffffff
1 -3 6 ffffff
2 -3 6 ffffff
3 -3 6 ffffff
4 -3 6 ffffff
5 -3 6 ffffff
6 -3 6 ffffff
7 -3 6 ffffff
8 -3 6 ffffff
1 -2 6 ffffff
8 -2 6 ffffff
1 -1 6 ffffff
8 -1 6 847e87
1 -3 7 ffffff
2 -3 7 ffffff
3 -3 7 ffffff
4 -3 7 ffffff
5 -3 7 ffffff
6 -3 7 ffffff
7 -3 7 ffffff
8 -3 7 ffffff
1 -2 7 ffffff
8 -2 7 847e87
1 -1 7 ffffff
-7 0 0 ffffff
-6 0 0 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-7 1 0 ffffff
-6 1 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
-7 2 0 ffffff
-6 2 0 ffffff
-5 2 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-1 2 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-5 3 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-7 4 0 ffffff
-6 4 0 ffffff
-5 4 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-7 0 1 ffffff
-6 0 1 ffffff
-5 0 1 696a6a
-7 1 1 ffffff
-6 1 1 ffffff
-5 1 1 696a6a
-2 1 1 ffffff
-1 1 1 ffffff
-7 2 1 ffffff
-6 2 1 ffffff
-5 2 1 696a6a
-7 3 1 ffffff
-6 3 1 ffffff
-5 3 1 696a6a
-7 4 1 ffffff
-6 4 1 ffffff
-5 4 1 ffffff
-4 4 1 ffffff
-3 4 1 ffffff
-2 4 1 ffffff
-1 4 1 ffffff
-7 0 2 ffffff
-6 0 2 696a6a
-7 1 2 ffffff
-6 1 2 696a6a
-7 2 2 ffffff
-6 2 2 696a6a
-7 3 2 ffffff
-6 3 2 696a6a
-7 4 2 ffffff
-6 4 2 696a6a
-7 0 3 696a6a
-7 1 3 696a6a
-7 2 3 696a6a
-7 3 3 696a6a
-7 4 3 696a6a
0 0 0 ffffff
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
4 0 0 ffffff
5 0 0 ffffff
6 0 0 ffffff
7 0 0 ffffff
8 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
7 1 0 ffffff
8 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
6 2 0 ffffff
7 2 0 ffffff
8 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
5 3 0 ffffff
6 3 0 ffffff
7 3 0 ffffff
8 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
5 4 0 ffffff
6 4 0 ffffff
7 4 0 ffffff
8 4 0 ffffff
1 0 1 ffffff
8 0 1 ffffff
0 1 1 ffffff
1 1 1 ffffff
8 1 1 ffffff
8 2 1 ffffff
8 3 1 ffffff
0 4 1 ffffff
1 4 1 ffffff
2 4 1 ffffff
3 4 1 ffffff
4 4 1 ffffff
5 4 1 ffffff
6 4 1 ffffff
7 4 1 ffffff
8 4 1 ffffff
1 0 2 ffffff
8 0 2 ffffff
1 1 2 ffffff
8 1 2 ffffff
8 2 2 ffffff
8 3 2 847e87
1 0 3 ffffff
8 0 3 ffffff
1 1 3 ffffff
8 1 3 ffffff
8 2 3 847e87
1 0 4 ffffff
8 0 4 ffffff
1 1 4 ffffff
8 1 4 847e87
1 0 5 ffffff
8 0 5 847e87
1 1 5 ffffff
1 0 6 ffffff
1 1 6 ffffff
1 0 7 ffffff
1 1 7 ffffff
