# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
0 0 0 ffffff
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
4 0 0 ffffff
5 0 0 ffffff
6 0 0 ffffff
7 0 0 ffffff
8 0 0 ffffff
9 0 0 ffffff
0 1 0 ffffff
1 1 0 000000
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
7 1 0 ffffff
8 1 0 ffffff
9 1 0 ffffff
10 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
6 2 0 ffffff
7 2 0 ffffff
8 2 0 ffffff
9 2 0 ffffff
10 2 0 ffffff
11 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
7 3 0 ffffff
8 3 0 ffffff
9 3 0 ffffff
10 3 0 ffffff
11 3 0 ffffff
12 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
8 4 0 ffffff
9 4 0 ffffff
10 4 0 ffffff
11 4 0 ffffff
12 4 0 ffffff
13 4 0 ffffff
0 5 0 ffffff
1 5 0 ffffff
9 5 0 ffffff
10 5 0 ffffff
11 5 0 ffffff
12 5 0 ffffff
13 5 0 ffffff
0 6 0 ffffff
1 6 0 ffffff
2 6 0 ffffff
10 6 0 ffffff
11 6 0 ffffff
12 6 0 ffffff
13 6 0 ffffff
0 7 0 ffffff
1 7 0 ffffff
2 7 0 ffffff
3 7 0 ffffff
10 7 0 ffffff
11 7 0 ffffff
12 7 0 ffffff
13 7 0 ffffff
0 8 0 ffffff
1 8 0 ffffff
2 8 0 ffffff
3 8 0 ffffff
4 8 0 ffffff
9 8 0 ffffff
10 8 0 ffffff
11 8 0 ffffff
12 8 0 ffffff
13 8 0 ffffff
0 9 0 ffffff
1 9 0 ffffff
2 9 0 ffffff
3 9 0 ffffff
4 9 0 ffffff
5 9 0 ffffff
8 9 0 ffffff
9 9 0 ffffff
10 9 0 ffffff
11 9 0 ffffff
12 9 0 ffffff
13 9 0 ffffff
1 10 0 ffffff
2 10 0 ffffff
3 10 0 ffffff
4 10 0 ffffff
5 10 0 ffffff
6 10 0 ffffff
7 10 0 ffffff
8 10 0 ffffff
9 10 0 ffffff
10 10 0 ffffff
11 10 0 ffffff
12 10 0 ffffff
2 11 0 ffffff
3 11 0 ffffff
4 11 0 ffffff
5 11 0 ffffff
6 11 0 ffffff
7 11 0 ffffff
8 11 0 ffffff
9 11 0 ffffff
10 11 0 ffffff
11 11 0 ffffff
3 12 0 ffffff
4 12 0 ffffff
5 12 0 ffffff
6 12 0 ffffff
7 12 0 ffffff
8 12 0 ffffff
9 12 0 ffffff
10 12 0 ffffff
4 13 0 ffffff
5 13 0 ffffff
6 13 0 ffffff
7 13 0 ffffff
8 13 0 ffffff
9 13 0 ffffff
10 10 1 8a6f30
2 -2 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
5 -2 0 ffffff
6 -2 0 ffffff
7 -2 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
5 -1 0 ffffff
6 -1 0 ffffff
7 -1 0 ffffff
8 -1 0 ffffff
-1 1 0 ffffff
-2 2 0 ffffff
-1 2 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-2 5 0 ffffff
-1 5 0 ffffff
-2 6 0 ffffff
-1 6 0 ffffff
-2 7 0 ffffff
-1 7 0 ffffff
-1 8 0 ffffff
