# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
4 0 0 ffffff
5 0 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
5 3 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
5 4 0 ffffff
3 2 1 8a6f30
0 -10 0 ffffff
1 -10 0 ffffff
2 -10 0 ffffff
3 -10 0 ffffff
4 -10 0 ffffff
5 -10 0 ffffff
6 -10 0 ffffff
0 -9 0 ffffff
1 -9 0 ffffff
2 -9 0 ffffff
3 -9 0 ffffff
4 -9 0 ffffff
5 -9 0 ffffff
6 -9 0 ffffff
0 -8 0 ffffff
1 -8 0 ffffff
2 -8 0 ffffff
3 -8 0 ffffff
4 -8 0 ffffff
5 -8 0 ffffff
6 -8 0 ffffff
0 -7 0 ffffff
1 -7 0 ffffff
2 -7 0 ffffff
3 -7 0 ffffff
4 -7 0 ffffff
5 -7 0 ffffff
6 -7 0 ffffff
0 -6 0 ffffff
1 -6 0 ffffff
2 -6 0 ffffff
3 -6 0 ffffff
4 -6 0 ffffff
5 -6 0 ffffff
6 -6 0 ffffff
0 -5 0 ffffff
1 -5 0 ffffff
2 -5 0 ffffff
3 -5 0 ffffff
4 -5 0 ffffff
5 -5 0 ffffff
6 -5 0 ffffff
0 -4 0 ffffff
1 -4 0 ffffff
2 -4 0 ffffff
3 -4 0 ffffff
4 -4 0 ffffff
5 -4 0 ffffff
6 -4 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
5 -3 0 ffffff
1 -2 0 ffffff
2 -2 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
5 -2 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
5 -1 0 ffffff
0 -10 1 ffffff
1 -10 1 ffffff
2 -10 1 ffffff
3 -10 1 ffffff
4 -10 1 ffffff
5 -10 1 ffffff
6 -10 1 ffffff
0 -9 1 ffffff
1 -9 1 ffffff
2 -9 1 ffffff
3 -9 1 ffffff
4 -9 1 ffffff
5 -9 1 ffffff
6 -9 1 ffffff
0 -8 1 ffffff
1 -8 1 ffffff
2 -8 1 ffffff
3 -8 1 ffffff
4 -8 1 ffffff
5 -8 1 ffffff
6 -8 1 ffffff
0 -7 1 ffffff
1 -7 1 ffffff
2 -7 1 ffffff
3 -7 1 ffffff
4 -7 1 ffffff
5 -7 1 ffffff
6 -7 1 ffffff
0 -6 1 ffffff
1 -6 1 ffffff
2 -6 1 ffffff
3 -6 1 ffffff
4 -6 1 ffffff
5 -6 1 ffffff
6 -6 1 ffffff
0 -5 1 ffffff
1 -5 1 ffffff
2 -5 1 ffffff
3 -5 1 ffffff
4 -5 1 ffffff
5 -5 1 ffffff
6 -5 1 ffffff
0 -4 1 ffffff
1 -4 1 ffffff
2 -4 1 ffffff
3 -4 1 ffffff
4 -4 1 ffffff
5 -4 1 ffffff
6 -4 1 ffffff
0 -10 2 ffffff
1 -10 2 ffffff
2 -10 2 ffffff
3 -10 2 ffffff
4 -10 2 ffffff
5 -10 2 ffffff
6 -10 2 ffffff
0 -9 2 ffffff
1 -9 2 ffffff
2 -9 2 ffffff
3 -9 2 ffffff
4 -9 2 ffffff
5 -9 2 ffffff
6 -9 2 ffffff
0 -8 2 ffffff
1 -8 2 ffffff
2 -8 2 ffffff
3 -8 2 ffffff
4 -8 2 ffffff
5 -8 2 ffffff
6 -8 2 ffffff
0 -7 2 ffffff
1 -7 2 ffffff
2 -7 2 ffffff
3 -7 2 000000
4 -7 2 ffffff
5 -7 2 ffffff
6 -7 2 ffffff
0 -6 2 ffffff
1 -6 2 ffffff
2 -6 2 ffffff
3 -6 2 ffffff
4 -6 2 ffffff
5 -6 2 ffffff
6 -6 2 ffffff
0 -5 2 ffffff
1 -5 2 ffffff
2 -5 2 ffffff
3 -5 2 ffffff
4 -5 2 ffffff
5 -5 2 ffffff
6 -5 2 ffffff
0 -4 2 ffffff
1 -4 2 ffffff
2 -4 2 ffffff
3 -4 2 ffffff
4 -4 2 ffffff
5 -4 2 ffffff
6 -4 2 ffffff
0 -10 3 ffffff
1 -10 3 ffffff
2 -10 3 ffffff
3 -10 3 ffffff
4 -10 3 ffffff
5 -10 3 ffffff
6 -10 3 ffffff
0 -9 3 ffffff
6 -9 3 ffffff
0 -8 3 ffffff
6 -8 3 ffffff
0 -7 3 ffffff
6 -7 3 ffffff
0 -6 3 ffffff
6 -6 3 ffffff
0 -5 3 ffffff
6 -5 3 ffffff
0 -4 3 ffffff
1 -4 3 ffffff
2 -4 3 ffffff
3 -4 3 ffffff
4 -4 3 ffffff
5 -4 3 ffffff
6 -4 3 ffffff
