# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
1 -8 0 ffffff
2 -8 0 ffffff
3 -8 0 ffffff
4 -8 0 ffffff
5 -8 0 ffffff
6 -8 0 ffffff
1 -7 0 ffffff
2 -7 0 ffffff
3 -7 0 ffffff
4 -7 0 ffffff
5 -7 0 ffffff
6 -7 0 ffffff
1 -6 0 ffffff
2 -6 0 ffffff
3 -6 0 ffffff
4 -6 0 ffffff
5 -6 0 ffffff
6 -6 0 ffffff
7 -6 0 ffffff
1 -5 0 ffffff
2 -5 0 ffffff
3 -5 0 000000
4 -5 0 ffffff
5 -5 0 ffffff
6 -5 0 ffffff
7 -5 0 ffffff
1 -4 0 ffffff
2 -4 0 ffffff
3 -4 0 ffffff
4 -4 0 ffffff
5 -4 0 ffffff
6 -4 0 ffffff
7 -4 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
5 -3 0 ffffff
6 -3 0 ffffff
7 -3 0 ffffff
1 -2 0 ffffff
2 -2 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
5 -2 0 ffffff
6 -2 0 ffffff
7 -2 0 ffffff
7 -1 0 ffffff
7 -8 1 9badb7
7 -7 1 9badb7
7 -6 1 9badb7
7 -5 1 9badb7
7 -4 1 9badb7
7 -3 1 9badb7
7 -2 1 9badb7
7 -1 1 9badb7
8 -8 2 9badb7
8 -7 2 9badb7
8 -6 2 9badb7
8 -5 2 9badb7
8 -4 2 9badb7
8 -3 2 9badb7
8 -2 2 9badb7
8 -1 2 9badb7
9 -8 3 9badb7
9 -7 3 9badb7
9 -6 3 9badb7
9 -5 3 9badb7
9 -4 3 9badb7
9 -3 3 9badb7
9 -2 3 9badb7
9 -1 3 9badb7
10 -8 4 9badb7
10 -7 4 9badb7
10 -6 4 9badb7
10 -5 4 9badb7
10 -4 4 9badb7
10 -3 4 9badb7
10 -2 4 9badb7
10 -1 4 9badb7
11 -8 5 9badb7
11 -7 5 9badb7
11 -6 5 9badb7
11 -5 5 9badb7
11 -4 5 9badb7
11 -3 5 9badb7
11 -2 5 9badb7
11 -1 5 9badb7
7 0 0 ffffff
7 1 0 ffffff
7 2 0 ffffff
7 3 0 ffffff
7 4 0 ffffff
1 5 0 ffffff
2 5 0 ffffff
3 5 0 ffffff
4 5 0 ffffff
5 5 0 ffffff
6 5 0 ffffff
7 5 0 ffffff
1 6 0 ffffff
2 6 0 ffffff
3 6 0 ffffff
4 6 0 ffffff
5 6 0 ffffff
6 6 0 ffffff
7 6 0 ffffff
1 7 0 ffffff
2 7 0 ffffff
3 7 0 ffffff
4 7 0 ffffff
5 7 0 ffffff
6 7 0 ffffff
7 7 0 ffffff
1 8 0 ffffff
2 8 0 ffffff
3 8 0 ffffff
4 8 0 ffffff
5 8 0 ffffff
6 8 0 ffffff
7 8 0 ffffff
1 9 0 ffffff
2 9 0 ffffff
3 9 0 ffffff
4 9 0 ffffff
5 9 0 ffffff
6 9 0 ffffff
7 9 0 ffffff
1 10 0 ffffff
2 10 0 ffffff
3 10 0 ffffff
4 10 0 ffffff
5 10 0 ffffff
6 10 0 ffffff
7 10 0 ffffff
7 0 1 9badb7
7 1 1 9badb7
7 2 1 9badb7
7 3 1 9badb7
7 4 1 9badb7
7 5 1 9badb7
7 6 1 9badb7
7 7 1 9badb7
7 8 1 9badb7
3 9 1 8a6f30
7 9 1 9badb7
7 10 1 9badb7
8 0 2 9badb7
8 1 2 9badb7
8 2 2 9badb7
8 3 2 9badb7
8 4 2 9badb7
8 5 2 9badb7
8 6 2 9badb7
8 7 2 9badb7
8 8 2 9badb7
8 9 2 9badb7
8 10 2 9badb7
9 0 3 9badb7
9 1 3 9badb7
9 2 3 9badb7
9 3 3 9badb7
9 4 3 9badb7
9 5 3 9badb7
9 6 3 9badb7
9 7 3 9badb7
9 8 3 9badb7
9 9 3 9badb7
9 10 3 9badb7
10 0 4 9badb7
10 1 4 9badb7
10 2 4 9badb7
10 3 4 9badb7
10 4 4 9badb7
10 5 4 9badb7
10 6 4 9badb7
10 7 4 9badb7
10 8 4 9badb7
10 9 4 9badb7
10 10 4 9badb7
11 0 5 9badb7
11 1 5 9badb7
11 2 5 9badb7
11 3 5 9badb7
11 4 5 9badb7
11 5 5 9badb7
11 6 5 9badb7
11 7 5 9badb7
11 8 5 9badb7
11 9 5 9badb7
11 10 5 9badb7
