# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
0 0 0 ffffff
0 5 0 ffffff
6 5 0 ffffff
7 5 0 ffffff
8 5 0 ffffff
9 5 0 ffffff
10 5 0 ffffff
0 6 0 ffffff
1 6 0 ffffff
6 6 0 ffffff
7 6 0 ffffff
8 6 0 ffffff
9 6 0 ffffff
10 6 0 ffffff
0 7 0 ffffff
1 7 0 ffffff
6 7 0 ffffff
7 7 0 ffffff
8 7 0 ffffff
9 7 0 ffffff
10 7 0 ffffff
0 8 0 ffffff
1 8 0 ffffff
6 8 0 ffffff
7 8 0 ffffff
8 8 0 ffffff
9 8 0 ffffff
10 8 0 ffffff
0 9 0 ffffff
6 9 0 ffffff
7 9 0 ffffff
8 9 0 ffffff
9 9 0 ffffff
10 9 0 ffffff
0 0 1 ffffff
0 5 1 ffffff
1 6 1 ffffff
1 7 1 ffffff
8 7 1 8a6f30
1 8 1 ffffff
0 9 1 ffffff
0 -13 0 ffffff
0 -12 0 ffffff
1 -12 0 ffffff
0 -11 0 ffffff
1 -11 0 ffffff
0 -10 0 ffffff
1 -10 0 ffffff
0 -9 0 ffffff
0 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
0 -13 1 ffffff
1 -12 1 ffffff
1 -11 1 ffffff
1 -10 1 ffffff
0 -9 1 ffffff
0 -4 1 ffffff
1 -3 1 ffffff
1 -2 1 ffffff
1 -1 1 ffffff
-2 -13 0 ffffff
-1 -13 0 ffffff
-3 -12 0 ffffff
-2 -12 0 ffffff
-1 -12 0 ffffff
-3 -11 0 ffffff
-2 -11 0 ffffff
-1 -11 0 000000
-3 -10 0 ffffff
-2 -10 0 ffffff
-1 -10 0 ffffff
-2 -9 0 ffffff
-1 -9 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-2 -13 1 ffffff
-1 -13 1 ffffff
-3 -12 1 ffffff
-3 -11 1 ffffff
-3 -10 1 ffffff
-2 -9 1 ffffff
-1 -9 1 ffffff
-2 -4 1 ffffff
-1 -4 1 ffffff
-3 -3 1 ffffff
-3 -2 1 ffffff
-3 -1 1 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-2 5 0 ffffff
-1 5 0 ffffff
-3 6 0 ffffff
-2 6 0 ffffff
-1 6 0 ffffff
-3 7 0 ffffff
-2 7 0 ffffff
-1 7 0 ffffff
-3 8 0 ffffff
-2 8 0 ffffff
-1 8 0 ffffff
-2 9 0 ffffff
-1 9 0 ffffff
-2 0 1 ffffff
-1 0 1 ffffff
-2 5 1 ffffff
-1 5 1 ffffff
-3 6 1 ffffff
-3 7 1 ffffff
-3 8 1 ffffff
-2 9 1 ffffff
-1 9 1 ffffff
