# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
4 0 0 ffffff
5 0 0 ffffff
6 0 0 ffffff
7 5 0 ffffff
8 5 0 ffffff
9 5 0 ffffff
10 5 0 ffffff
11 5 0 ffffff
7 6 0 ffffff
8 6 0 ffffff
9 6 0 ffffff
10 6 0 ffffff
11 6 0 ffffff
1 7 0 ffffff
7 7 0 ffffff
8 7 0 ffffff
9 7 0 ffffff
10 7 0 ffffff
11 7 0 ffffff
7 8 0 ffffff
8 8 0 ffffff
9 8 0 ffffff
10 8 0 ffffff
11 8 0 ffffff
7 9 0 ffffff
8 9 0 ffffff
9 9 0 ffffff
10 9 0 ffffff
11 9 0 ffffff
9 7 1 8a6f30
4 -2 0 ffffff
5 -2 0 ffffff
6 -2 0 ffffff
4 -1 0 ffffff
5 -1 0 ffffff
6 -1 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-9 5 0 ffffff
-8 5 0 ffffff
-7 5 0 ffffff
-6 5 0 ffffff
-5 5 0 ffffff
-9 6 0 ffffff
-8 6 0 ffffff
-7 6 0 ffffff
-6 6 0 ffffff
-5 6 0 ffffff
-9 7 0 ffffff
-8 7 0 ffffff
-7 7 0 000000
-6 7 0 ffffff
-5 7 0 ffffff
-9 8 0 ffffff
-8 8 0 ffffff
-7 8 0 ffffff
-6 8 0 ffffff
-5 8 0 ffffff
-9 9 0 ffffff
-8 9 0 ffffff
-7 9 0 ffffff
-6 9 0 ffffff
-5 9 0 ffffff
