# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-7 -4 16 ffffff
-7 -3 16 ffffff
-7 -4 17 ffffff
-7 -3 17 ffffff
-7 -4 18 ffffff
-7 -3 18 ffffff
-7 -4 19 ffffff
-7 -3 19 ffffff
-7 -4 20 ffffff
-7 -3 20 ffffff
-7 -4 21 ffffff
-7 -3 21 ffffff
-7 -4 22 ffffff
-7 -3 22 ffffff
-3 -3 22 ffffff
-2 -3 22 ffffff
-7 -4 23 ffffff
-7 -3 23 ffffff
-3 -3 23 9badb7
-2 -3 23 696a6a
-7 -4 24 ffffff
-7 -3 24 ffffff
-7 -4 25 ffffff
-7 -3 25 ffffff
-7 -4 26 ffffff
-7 -3 26 ffffff
-7 -4 27 ffffff
-7 -3 27 ffffff
-7 -4 28 ffffff
-7 -3 28 ffffff
-7 -4 29 ffffff
-7 -3 29 ffffff
-7 -4 30 ffffff
-7 -3 30 ffffff
-5 -3 30 ffffff
-4 -3 30 ffffff
-1 -3 30 ffffff
-7 -4 31 ffffff
-7 -3 31 ffffff
-5 -3 31 9badb7
-4 -3 31 696a6a
-1 -3 31 9badb7
6 -4 16 ffffff
6 -3 16 ffffff
6 -4 17 ffffff
6 -3 17 ffffff
6 -4 18 ffffff
6 -3 18 ffffff
6 -4 19 ffffff
6 -3 19 ffffff
6 -4 20 ffffff
6 -3 20 ffffff
6 -4 21 ffffff
6 -3 21 ffffff
6 -4 22 ffffff
1 -3 22 ffffff
2 -3 22 ffffff
6 -3 22 ffffff
6 -4 23 ffffff
1 -3 23 9badb7
2 -3 23 696a6a
6 -3 23 ffffff
6 -4 24 ffffff
6 -3 24 ffffff
6 -4 25 ffffff
6 -3 25 ffffff
6 -4 26 ffffff
6 -3 26 ffffff
6 -4 27 ffffff
6 -3 27 ffffff
6 -4 28 ffffff
6 -3 28 ffffff
6 -4 29 ffffff
6 -3 29 ffffff
6 -4 30 ffffff
0 -3 30 ffffff
3 -3 30 ffffff
4 -3 30 ffffff
6 -3 30 ffffff
6 -4 31 ffffff
0 -3 31 696a6a
3 -3 31 9badb7
4 -3 31 696a6a
6 -3 31 ffffff
-7 -4 6 ffffff
-6 -4 6 ffffff
-7 -3 6 ffffff
-6 -3 6 ffffff
-7 -2 6 ffffff
-6 -2 6 ffffff
-7 -1 6 ffffff
-6 -1 6 ffffff
-7 -4 7 ffffff
-6 -4 7 ffffff
-5 -4 7 ffffff
-7 -3 7 ffffff
-5 -3 7 9badb7
-4 -3 7 ffffff
-3 -3 7 ffffff
-2 -3 7 ffffff
-1 -3 7 ffffff
-7 -2 7 ffffff
-5 -2 7 9badb7
-4 -2 7 ffffff
-3 -2 7 ffffff
-2 -2 7 ffffff
-1 -2 7 ffffff
