# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-17 -11 0 ffffff
-18 -10 0 ffffff
-17 -10 0 ffffff
-19 -9 0 ffffff
-18 -9 0 ffffff
-17 -9 0 ffffff
-20 -8 0 ffffff
-19 -8 0 ffffff
-18 -8 0 ffffff
-17 -8 0 ffffff
-21 -7 0 ffffff
-20 -7 0 ffffff
-19 -7 0 ffffff
-18 -7 0 ffffff
-17 -7 0 ffffff
-22 -6 0 ffffff
-21 -6 0 ffffff
-20 -6 0 ffffff
-19 -6 0 ffffff
-18 -6 0 ffffff
-21 -5 0 ffffff
-20 -5 0 ffffff
-19 -5 0 ffffff
-20 -4 0 ffffff
-20 -6 1 8a6f30
-15 -13 0 ffffff
-14 -13 0 ffffff
-13 -13 0 ffffff
-16 -12 0 ffffff
-15 -12 0 ffffff
-14 -12 0 ffffff
-13 -12 0 ffffff
-12 -12 0 ffffff
-16 -11 0 ffffff
-15 -11 0 ffffff
-14 -11 0 ffffff
-13 -11 0 ffffff
-12 -11 0 ffffff
-11 -11 0 ffffff
-16 -10 0 ffffff
-15 -10 0 ffffff
-14 -10 0 ffffff
-13 -10 0 ffffff
-12 -10 0 ffffff
-11 -10 0 ffffff
-10 -10 0 ffffff
-16 -9 0 ffffff
-15 -9 0 ffffff
-13 -9 0 ffffff
-12 -9 0 ffffff
-11 -9 0 ffffff
-10 -9 0 ffffff
-9 -9 0 ffffff
-8 -9 0 ffffff
-7 -9 0 ffffff
-16 -8 0 ffffff
-12 -8 0 ffffff
-11 -8 0 ffffff
-10 -8 0 ffffff
-9 -8 0 ffffff
-8 -8 0 ffffff
-7 -8 0 ffffff
-6 -8 0 ffffff
-11 -7 0 ffffff
-10 -7 0 ffffff
-9 -7 0 ffffff
-8 -7 0 ffffff
-7 -7 0 ffffff
-6 -7 0 ffffff
-5 -7 0 ffffff
-11 -6 0 ffffff
-10 -6 0 ffffff
-9 -6 0 ffffff
-8 -6 0 000000
-7 -6 0 ffffff
-6 -6 0 ffffff
-5 -6 0 ffffff
-11 -5 0 ffffff
-10 -5 0 ffffff
-9 -5 0 ffffff
-8 -5 0 ffffff
-7 -5 0 ffffff
-6 -5 0 ffffff
-5 -5 0 ffffff
-10 -4 0 ffffff
-9 -4 0 ffffff
-8 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-9 -3 0 ffffff
-8 -3 0 ffffff
-7 -3 0 ffffff
-15 -13 1 ffffff
-14 -13 1 ffffff
-13 -13 1 ffffff
-8 -9 1 ffffff
-7 -9 1 ffffff
-7 -8 1 ffffff
-6 -8 1 ffffff
-6 -7 1 ffffff
-5 -7 1 ffffff
-11 -6 1 ffffff
-5 -6 1 ffffff
-11 -5 1 ffffff
-10 -5 1 ffffff
-6 -5 1 ffffff
-5 -5 1 ffffff
-10 -4 1 ffffff
-9 -4 1 ffffff
-7 -4 1 ffffff
-6 -4 1 ffffff
-9 -3 1 ffffff
-8 -3 1 ffffff
-7 -3 1 ffffff
-15 -13 2 ffffff
-14 -13 2 ffffff
-13 -13 2 ffffff
