# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-1 -8 0 ffffff
-1 -7 0 ffffff
-1 -6 0 ffffff
-1 -5 0 ffffff
-1 -4 0 ffffff
-1 -3 0 ffffff
-1 -2 0 ffffff
-1 -1 0 ffffff
-1 -8 1 ffffff
-1 -7 1 ffffff
-1 -6 1 ffffff
-1 -5 1 ffffff
-1 -4 1 ffffff
-1 -3 1 ffffff
-1 -2 1 ffffff
-1 -1 1 ffffff
-1 -8 2 ffffff
-1 -7 2 ffffff
-1 -6 2 ffffff
-1 -5 2 ffffff
-1 -4 2 ffffff
-1 -3 2 ffffff
-1 -2 2 ffffff
-1 -1 2 ffffff
-1 -8 3 ffffff
-1 -7 3 ffffff
-1 -6 3 ffffff
-1 -5 3 ffffff
-1 -4 3 ffffff
-1 -3 3 ffffff
-1 -2 3 ffffff
-1 -1 3 ffffff
-1 -8 4 ffffff
-1 -7 4 ffffff
-1 -6 4 ffffff
-1 -5 4 ffffff
-1 -4 4 ffffff
-1 -3 4 ffffff
-1 -2 4 ffffff
-1 -1 4 ffffff
-1 -8 5 ffffff
-1 -7 5 ffffff
-1 -6 5 ffffff
-1 -5 5 ffffff
-1 -4 5 ffffff
-1 -3 5 ffffff
-1 -2 5 ffffff
-1 -1 5 ffffff
-1 -8 6 ffffff
-1 -7 6 ffffff
-1 -6 6 ffffff
-1 -5 6 ffffff
-1 -4 6 ffffff
-1 -3 6 ffffff
-1 -2 6 ffffff
-1 -1 6 ffffff
-1 -8 7 ffffff
-1 -7 7 ffffff
-1 -6 7 ffffff
-1 -5 7 ffffff
-1 -4 7 ffffff
-1 -3 7 ffffff
-1 -2 7 ffffff
-1 -1 7 847e87
-1 -8 8 ffffff
-1 -7 8 ffffff
-1 -6 8 ffffff
-1 -5 8 ffffff
-1 -4 8 ffffff
-1 -3 8 ffffff
-1 -2 8 847e87
-1 -8 9 ffffff
-1 -7 9 ffffff
-1 -6 9 ffffff
-1 -5 9 ffffff
-1 -4 9 ffffff
-1 -3 9 847e87
-1 -8 10 ffffff
-1 -7 10 ffffff
-1 -6 10 ffffff
-1 -5 10 ffffff
-1 -4 10 847e87
1 -1 3 ffffff
2 -1 3 ffffff
3 -1 3 ffffff
4 -1 3 ffffff
5 -1 3 ffffff
1 -2 4 ffffff
2 -2 4 ffffff
3 -2 4 ffffff
4 -2 4 ffffff
5 -2 4 ffffff
1 -1 4 ffffff
5 -1 4 ffffff
1 -2 5 ffffff
2 -2 5 ffffff
3 -2 5 ffffff
4 -2 5 ffffff
5 -2 5 ffffff
1 -1 5 ffffff
5 -1 5 ffffff
7 -1 5 ffffff
1 -2 6 ffffff
2 -2 6 ffffff
3 -2 6 ffffff
4 -2 6 ffffff
5 -2 6 ffffff
7 -2 6 ffffff
0 -1 6 847e87
1 -1 6 847e87
5 -1 6 847e87
6 -1 6 847e87
7 -1 6 ffffff
7 -3 7 ffffff
0 -2 7 847e87
1 -2 7 847e87
2 -2 7 847e87
3 -2 7 847e87
4 -2 7 847e87
5 -2 7 847e87
6 -2 7 847e87
7 -2 7 ffffff
7 -1 7 847e87
7 -4 8 ffffff
0 -3 8 847e87
1 -3 8 847e87
2 -3 8 847e87
3 -3 8 847e87
4 -3 8 847e87
5 -3 8 847e87
6 -3 8 847e87
7 -3 8 ffffff
7 -2 8 847e87
0 -7 9 ffffff
1 -7 9 ffffff
2 -7 9 ffffff
3 -7 9 ffffff
4 -7 9 ffffff
5 -7 9 ffffff
6 -7 9 ffffff
0 -6 9 ffffff
1 -6 9 ffffff
2 -6 9 ffffff
3 -6 9 ffffff
4 -6 9 ffffff
5 -6 9 ffffff
6 -6 9 ffffff
0 -5 9 ffffff
1 -5 9 ffffff
2 -5 9 ffffff
3 -5 9 ffffff
4 -5 9 ffffff
5 -5 9 ffffff
6 -5 9 ffffff
7 -5 9 ffffff
0 -4 9 847e87
1 -4 9 847e87
2 -4 9 847e87
3 -4 9 847e87
4 -4 9 847e87
5 -4 9 847e87
6 -4 9 847e87
7 -4 9 ffffff
7 -3 9 847e87
0 -8 10 ffffff
1 -8 10 ffffff
2 -8 10 ffffff
3 -8 10 ffffff
4 -8 10 ffffff
5 -8 10 ffffff
6 -8 10 ffffff
7 -8 10 ffffff
7 -7 10 ffffff
3 -6 10 8a6f30
7 -6 10 ffffff
7 -5 10 ffffff
7 -4 10 847e87
-1 0 0 ffffff
-1 1 0 ffffff
-1 2 0 ffffff
-1 3 0 ffffff
-1 4 0 ffffff
-1 5 0 ffffff
-1 6 0 ffffff
-1 7 0 ffffff
-1 8 0 ffffff
-1 0 1 ffffff
-1 1 1 ffffff
-1 2 1 ffffff
-1 3 1 ffffff
-1 4 1 ffffff
-1 5 1 ffffff
-1 6 1 ffffff
-1 7 1 ffffff
-1 8 1 ffffff
-1 0 2 ffffff
-1 1 2 ffffff
-1 2 2 ffffff
-1 3 2 ffffff
-1 4 2 847e87
-1 0 3 ffffff
-1 1 3 ffffff
-1 2 3 ffffff
-1 3 3 847e87
-1 0 4 ffffff
-1 1 4 ffffff
-1 2 4 847e87
-1 0 5 ffffff
-1 1 5 847e87
-1 0 6 847e87
0 5 0 ffffff
1 5 0 ffffff
2 5 0 ffffff
3 5 0 ffffff
4 5 0 ffffff
5 5 0 ffffff
6 5 0 ffffff
0 6 0 ffffff
1 6 0 ffffff
2 6 0 ffffff
3 6 0 ffffff
4 6 0 ffffff
5 6 0 ffffff
6 6 0 ffffff
0 7 0 ffffff
1 7 0 ffffff
2 7 0 ffffff
3 7 0 ffffff
4 7 0 ffffff
5 7 0 ffffff
6 7 0 ffffff
0 8 0 ffffff
1 8 0 ffffff
2 8 0 ffffff
3 8 0 ffffff
4 8 0 ffffff
5 8 0 ffffff
6 8 0 ffffff
7 8 0 ffffff
7 3 1 ffffff
0 4 1 847e87
1 4 1 847e87
2 4 1 847e87
