# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-20 -12 0 ffffff
-21 -11 0 ffffff
-20 -11 0 ffffff
-19 -11 0 ffffff
-22 -10 0 ffffff
-21 -10 0 ffffff
-20 -10 0 ffffff
-19 -10 0 ffffff
-18 -10 0 ffffff
-21 -9 0 ffffff
-20 -9 0 ffffff
-19 -9 0 ffffff
-20 -8 0 ffffff
-17 -5 0 ffffff
-18 -4 0 ffffff
-17 -4 0 ffffff
-18 -3 0 ffffff
-17 -3 0 ffffff
-20 -10 1 8a6f30
-18 -3 1 ffffff
-17 -3 1 ffffff
-11 -11 0 ffffff
-10 -11 0 ffffff
-9 -11 0 ffffff
-8 -11 0 ffffff
-12 -10 0 ffffff
-11 -10 0 ffffff
-10 -10 0 ffffff
-9 -10 0 ffffff
-8 -10 0 ffffff
-13 -9 0 ffffff
-12 -9 0 ffffff
-11 -9 0 ffffff
-10 -9 0 ffffff
-9 -9 0 ffffff
-14 -8 0 ffffff
-13 -8 0 ffffff
-12 -8 0 ffffff
-11 -8 0 ffffff
-10 -8 0 ffffff
-15 -7 0 ffffff
-14 -7 0 ffffff
-13 -7 0 ffffff
-12 -7 0 ffffff
-11 -7 0 ffffff
-5 -7 0 ffffff
-4 -7 0 ffffff
-3 -7 0 ffffff
-16 -6 0 ffffff
-15 -6 0 ffffff
-14 -6 0 ffffff
-13 -6 0 ffffff
-12 -6 0 ffffff
-11 -6 0 ffffff
-6 -6 0 ffffff
-5 -6 0 ffffff
-4 -6 0 ffffff
-3 -6 0 ffffff
-2 -6 0 ffffff
-16 -5 0 ffffff
-15 -5 0 ffffff
-14 -5 0 ffffff
-13 -5 0 ffffff
-12 -5 0 ffffff
-11 -5 0 ffffff
-7 -5 0 ffffff
-6 -5 0 ffffff
-5 -5 0 ffffff
-4 -5 0 ffffff
-3 -5 0 ffffff
-2 -5 0 ffffff
-1 -5 0 ffffff
-16 -4 0 ffffff
-15 -4 0 ffffff
-14 -4 0 ffffff
-13 -4 0 ffffff
-12 -4 0 ffffff
-11 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-5 -4 0 ffffff
-4 -4 0 000000
-3 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-16 -3 0 ffffff
-15 -3 0 ffffff
-14 -3 0 ffffff
-13 -3 0 ffffff
-12 -3 0 ffffff
-11 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-11 -11 1 ffffff
-10 -11 1 ffffff
-9 -11 1 ffffff
-8 -11 1 ffffff
-4 -7 1 ffffff
-3 -7 1 ffffff
-3 -6 1 ffffff
-2 -6 1 ffffff
-2 -5 1 ffffff
-1 -5 1 ffffff
-7 -4 1 ffffff
-1 -4 1 ffffff
-16 -3 1 ffffff
-15 -3 1 ffffff
-14 -3 1 ffffff
-13 -3 1 ffffff
-12 -3 1 ffffff
-11 -3 1 ffffff
-7 -3 1 ffffff
-6 -3 1 ffffff
-2 -3 1 ffffff
-1 -3 1 ffffff
-6 -2 1 ffffff
-5 -2 1 ffffff
-3 -2 1 ffffff
-2 -2 1 ffffff
-5 -1 1 ffffff
-4 -1 1 ffffff
-3 -1 1 ffffff
