# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
0 0 0 ffffff
2 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
0 0 1 ffffff
2 0 1 ffffff
0 1 1 ffffff
1 1 1 ffffff
2 1 1 ffffff
1 3 1 8a6f30
0 0 2 ffffff
2 0 2 ffffff
0 1 2 ffffff
1 1 2 ffffff
2 1 2 ffffff
0 0 3 ffffff
2 0 3 ffffff
0 1 3 ffffff
1 1 3 ffffff
2 1 3 ffffff
0 0 4 ffffff
2 0 4 ffffff
0 1 4 ffffff
1 1 4 ffffff
2 1 4 ffffff
0 0 5 ffffff
2 0 5 ffffff
0 1 5 ffffff
1 1 5 ffffff
2 1 5 ffffff
0 0 6 ffffff
2 0 6 ffffff
3 0 6 ffffff
4 0 6 000000
5 0 6 ffffff
0 1 6 ffffff
1 1 6 ffffff
2 1 6 ffffff
3 1 6 ffffff
4 1 6 ffffff
5 1 6 ffffff
0 0 7 ffffff
2 0 7 ffffff
0 1 7 ffffff
1 1 7 ffffff
2 1 7 ffffff
0 0 8 ffffff
2 0 8 ffffff
0 1 8 ffffff
1 1 8 ffffff
2 1 8 ffffff
0 0 9 ffffff
1 0 9 ffffff
2 0 9 ffffff
0 1 9 ffffff
1 1 9 ffffff
2 1 9 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
0 -1 1 ffffff
1 -1 1 ffffff
2 -1 1 ffffff
0 -1 2 ffffff
1 -1 2 ffffff
2 -1 2 ffffff
0 -1 3 ffffff
1 -1 3 ffffff
2 -1 3 ffffff
0 -1 4 ffffff
1 -1 4 ffffff
2 -1 4 ffffff
0 -1 5 ffffff
1 -1 5 ffffff
2 -1 5 ffffff
0 -1 6 ffffff
1 -1 6 ffffff
2 -1 6 ffffff
3 -1 6 ffffff
4 -1 6 ffffff
5 -1 6 ffffff
0 -1 7 ffffff
1 -1 7 ffffff
2 -1 7 ffffff
0 -1 8 ffffff
1 -1 8 ffffff
2 -1 8 ffffff
0 -1 9 ffffff
1 -1 9 ffffff
2 -1 9 ffffff
-3 -1 3 ffffff
-2 -1 3 ffffff
-1 -1 3 ffffff
-3 0 3 ffffff
-2 0 3 ffffff
-1 0 3 ffffff
-3 1 3 ffffff
-2 1 3 ffffff
-1 1 3 ffffff
