# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-2 -3 0 ffffff
-1 -3 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-2 -1 0 ffffff
-1 -1 0 000000
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
5 -3 0 ffffff
6 -3 0 ffffff
7 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
2 -2 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
5 -2 0 ffffff
6 -2 0 ffffff
7 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
5 -1 0 ffffff
6 -1 0 ffffff
7 -1 0 ffffff
1 -3 1 ffffff
1 -2 1 ffffff
1 -1 1 ffffff
5 -1 1 8a6f30
1 -3 2 ffffff
1 -2 2 ffffff
1 -1 2 ffffff
1 -3 3 ffffff
1 -2 3 ffffff
1 -1 3 ffffff
1 -3 4 ffffff
1 -2 4 ffffff
1 -1 4 ffffff
1 -3 5 ffffff
1 -2 5 ffffff
1 -1 5 ffffff
1 -3 6 ffffff
1 -2 6 ffffff
1 -1 6 ffffff
1 -3 7 ffffff
1 -2 7 ffffff
1 -1 7 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
0 0 0 ffffff
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
4 0 0 ffffff
5 0 0 ffffff
6 0 0 ffffff
7 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
7 1 0 ffffff
1 0 1 ffffff
1 1 1 ffffff
1 0 2 ffffff
1 1 2 ffffff
1 0 3 ffffff
1 1 3 ffffff
1 0 4 ffffff
1 1 4 ffffff
1 0 5 ffffff
1 1 5 ffffff
1 0 6 ffffff
1 1 6 ffffff
1 0 7 ffffff
1 1 7 ffffff
