# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-1 -4 1 ffffff
-1 -3 1 847e87
-4 -2 1 ffffff
-4 -1 1 ffffff
-1 -5 2 ffffff
-1 -4 2 847e87
-1 -6 3 ffffff
-1 -5 3 847e87
-1 -7 4 ffffff
-1 -6 4 847e87
-1 -7 5 847e87
0 -2 0 ffffff
1 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
9 -9 5 ffffff
10 -9 5 ffffff
11 -9 5 ffffff
12 -9 5 ffffff
13 -9 5 ffffff
9 -8 5 ffffff
10 -8 5 ffffff
11 -8 5 ffffff
12 -8 5 ffffff
13 -8 5 ffffff
0 -7 5 ffffff
1 -7 5 ffffff
2 -7 5 ffffff
3 -7 5 ffffff
4 -7 5 ffffff
5 -7 5 ffffff
6 -7 5 ffffff
7 -7 5 ffffff
8 -7 5 ffffff
9 -7 5 ffffff
10 -7 5 ffffff
11 -7 5 ffffff
12 -7 5 ffffff
13 -7 5 ffffff
9 -6 5 ffffff
10 -6 5 ffffff
11 -6 5 ffffff
12 -6 5 ffffff
13 -6 5 ffffff
10 -5 5 ffffff
11 -5 5 ffffff
12 -5 5 ffffff
13 -5 5 ffffff
11 -4 5 ffffff
11 -3 5 ffffff
11 -2 5 ffffff
11 -1 5 ffffff
11 -7 6 8a6f30
9 -6 6 ffffff
10 -5 6 ffffff
9 -6 7 ffffff
10 -5 7 ffffff
9 -6 8 ffffff
10 -5 8 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-3 1 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-1 2 0 ffffff
-3 3 0 ffffff
-2 3 0 000000
-1 3 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-4 0 1 ffffff
-4 1 1 ffffff
-4 2 1 ffffff
-4 3 1 ffffff
-4 4 1 ffffff
-4 5 1 ffffff
-3 5 1 ffffff
-2 5 1 ffffff
-1 5 1 ffffff
0 0 0 ffffff
1 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
6 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
6 1 1 9badb7
7 1 1 ffffff
6 2 1 9badb7
7 2 1 ffffff
0 5 1 ffffff
1 5 1 ffffff
7 1 2 9badb7
8 1 2 ffffff
7 2 2 9badb7
8 2 2 ffffff
8 1 3 9badb7
9 1 3 ffffff
8 2 3 9badb7
9 2 3 ffffff
9 1 4 9badb7
10 1 4 ffffff
9 2 4 9badb7
10 2 4 ffffff
11 0 5 ffffff
10 1 5 9badb7
11 1 5 ffffff
10 2 5 9badb7
11 2 5 ffffff
