# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-9 -5 0 ffffff
-9 -4 0 ffffff
-9 -3 0 ffffff
-9 -2 0 ffffff
-9 -1 0 ffffff
-9 -5 1 ffffff
-9 -4 1 ffffff
-9 -3 1 ffffff
-9 -2 1 ffffff
-9 -1 1 ffffff
-9 -5 2 ffffff
-9 -4 2 ffffff
-8 -4 2 ffffff
-7 -4 2 ffffff
-9 -3 2 ffffff
-8 -3 2 ffffff
-7 -3 2 ffffff
-6 -3 2 ffffff
-9 -2 2 ffffff
-8 -2 2 ffffff
-7 -2 2 ffffff
-6 -2 2 ffffff
-9 -1 2 ffffff
-8 -1 2 ffffff
-7 -1 2 ffffff
-6 -1 2 ffffff
-9 -5 3 ffffff
-8 -5 3 ffffff
-7 -5 3 ffffff
-6 -5 3 ffffff
-9 -4 3 ffffff
-6 -4 3 9badb7
-5 -4 3 ffffff
-4 -4 3 ffffff
-3 -4 3 ffffff
-9 -3 3 ffffff
-6 -3 3 9badb7
-5 -3 3 ffffff
-4 -3 3 ffffff
-3 -3 3 ffffff
-9 -2 3 ffffff
-6 -2 3 9badb7
-5 -2 3 ffffff
-4 -2 3 ffffff
-3 -2 3 ffffff
-9 -1 3 ffffff
-6 -1 3 9badb7
-5 -1 3 ffffff
-4 -1 3 ffffff
-3 -1 3 ffffff
-2 -4 4 9badb7
-2 -3 4 9badb7
-2 -2 4 9badb7
-2 -1 4 9badb7
-1 -4 5 9badb7
-1 -3 5 9badb7
-1 -2 5 9badb7
-1 -1 5 9badb7
0 -4 6 9badb7
1 -4 6 ffffff
2 -4 6 ffffff
3 -4 6 ffffff
4 -4 6 ffffff
5 -4 6 ffffff
6 -4 6 ffffff
0 -3 6 9badb7
1 -3 6 ffffff
2 -3 6 ffffff
3 -3 6 ffffff
4 -3 6 ffffff
5 -3 6 000000
6 -3 6 ffffff
0 -2 6 9badb7
1 -2 6 ffffff
2 -2 6 ffffff
3 -2 6 ffffff
4 -2 6 ffffff
5 -2 6 ffffff
6 -2 6 ffffff
0 -1 6 9badb7
1 -1 6 ffffff
2 -1 6 ffffff
3 -1 6 ffffff
4 -1 6 ffffff
5 -1 6 ffffff
6 -1 6 ffffff
2 -4 7 9badb7
3 -4 7 696a6a
2 -3 7 9badb7
3 -3 7 696a6a
2 -2 7 76428a
3 -2 7 d77bba
-9 0 0 ffffff
-9 1 0 ffffff
-9 2 0 ffffff
-9 3 0 ffffff
-9 4 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-9 5 0 ffffff
-8 5 0 ffffff
-7 5 0 ffffff
-6 5 0 ffffff
-5 5 0 ffffff
-9 0 1 ffffff
-9 1 1 ffffff
-9 2 1 ffffff
-9 3 1 ffffff
-9 4 1 ffffff
-4 4 1 ffffff
-3 4 1 ffffff
-2 4 1 ffffff
-1 4 1 ffffff
-9 5 1 ffffff
-8 5 1 ffffff
-7 5 1 ffffff
-6 5 1 ffffff
-5 5 1 ffffff
-9 0 2 ffffff
-8 0 2 ffffff
-7 0 2 ffffff
-6 0 2 ffffff
-1 0 2 ffffff
-9 1 2 ffffff
-8 1 2 ffffff
-7 1 2 ffffff
-6 1 2 ffffff
-1 1 2 696a6a
-9 2 2 ffffff
-8 2 2 ffffff
-7 2 2 ffffff
-6 2 2 ffffff
-1 2 2 696a6a
-9 3 2 ffffff
-8 3 2 ffffff
-7 3 2 ffffff
-6 3 2 ffffff
-1 3 2 696a6a
-9 4 2 ffffff
-8 4 2 ffffff
-7 4 2 ffffff
-6 4 2 ffffff
-4 4 2 ffffff
-3 4 2 ffffff
-2 4 2 ffffff
-1 4 2 696a6a
-9 5 2 ffffff
-8 5 2 ffffff
-7 5 2 ffffff
-6 5 2 ffffff
-5 5 2 ffffff
-9 0 3 ffffff
-6 0 3 9badb7
-5 0 3 ffffff
-4 0 3 ffffff
-3 0 3 ffffff
-2 0 3 ffffff
-1 0 3 ffffff
-9 1 3 ffffff
-6 1 3 9badb7
-5 1 3 ffffff
-4 1 3 ffffff
-3 1 3 ffffff
-2 1 3 696a6a
-9 2 3 ffffff
-6 2 3 9badb7
-5 2 3 ffffff
-4 2 3 ffffff
-3 2 3 ffffff
-2 2 3 696a6a
-9 3 3 ffffff
-6 3 3 9badb7
-5 3 3 ffffff
-4 3 3 ffffff
-3 3 3 ffffff
-2 3 3 696a6a
-9 4 3 ffffff
-6 4 3 9badb7
-5 4 3 ffffff
-4 4 3 ffffff
-3 4 3 ffffff
-2 4 3 696a6a
-9 5 3 ffffff
-8 5 3 ffffff
-7 5 3 ffffff
-6 5 3 ffffff
-5 5 3 ffffff
-2 0 4 9badb7
-1 0 4 ffffff
-1 0 5 9badb7
0 0 0 ffffff
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
4 0 0 ffffff
5 0 0 ffffff
6 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
6 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
5 3 0 ffffff
6 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
5 4 0 ffffff
6 4 0 ffffff
0 0 1 ffffff
1 0 1 ffffff
2 0 1 ffffff
3 0 1 ffffff
4 0 1 ffffff
5 0 1 ffffff
6 0 1 ffffff
0 1 1 696a6a
0 2 1 696a6a
5 2 1 8a6f30
0 3 1 696a6a
0 4 1 696a6a
0 0 2 ffffff
1 0 2 ffffff
2 0 2 ffffff
3 0 2 ffffff
4 0 2 ffffff
5 0 2 ffffff
6 0 2 ffffff
0 0 3 ffffff
1 0 3 ffffff
2 0 3 ffffff
3 0 3 ffffff
4 0 3 ffffff
5 0 3 ffffff
6 0 3 ffffff
0 0 4 ffffff
1 0 4 ffffff
2 0 4 ffffff
3 0 4 ffffff
4 0 4 ffffff
5 0 4 ffffff
6 0 4 ffffff
0 0 5 ffffff
1 0 5 ffffff
2 0 5 ffffff
3 0 5 ffffff
4 0 5 ffffff
5 0 5 ffffff
6 0 5 ffffff
0 0 6 9badb7
1 0 6 ffffff
2 0 6 ffffff
3 0 6 ffffff
4 0 6 ffffff
5 0 6 ffffff
6 0 6 ffffff
