# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-5 -6 0 ffffff
-4 -6 0 ffffff
-3 -6 0 ffffff
-2 -6 0 ffffff
-1 -6 0 ffffff
-5 -5 0 ffffff
-4 -5 0 ffffff
-3 -5 0 ffffff
-2 -5 0 ffffff
-1 -5 0 ffffff
-5 -4 0 ffffff
-4 -4 0 ffffff
-3 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 000000
-1 -3 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-5 -6 1 ffffff
-4 -6 1 ffffff
-3 -6 1 ffffff
-2 -6 1 ffffff
-1 -6 1 ffffff
-5 -5 1 ffffff
-5 -4 1 ffffff
-5 -3 1 ffffff
-5 -2 1 ffffff
-5 -1 1 ffffff
0 -6 0 ffffff
1 -6 0 ffffff
0 -5 0 ffffff
1 -5 0 ffffff
0 -4 0 ffffff
1 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
0 -6 1 ffffff
1 -6 1 ffffff
2 -6 1 ffffff
1 -5 1 9badb7
1 -4 1 9badb7
1 -3 1 9badb7
1 -2 1 9badb7
1 -1 1 9badb7
1 -6 2 9badb7
2 -6 2 ffffff
3 -6 2 ffffff
2 -5 2 9badb7
2 -4 2 9badb7
2 -3 2 9badb7
2 -2 2 9badb7
2 -1 2 9badb7
2 -6 3 9badb7
3 -6 3 ffffff
4 -6 3 ffffff
3 -5 3 9badb7
4 -5 3 ffffff
5 -5 3 ffffff
6 -5 3 ffffff
7 -5 3 ffffff
8 -5 3 ffffff
3 -4 3 9badb7
4 -4 3 ffffff
5 -4 3 ffffff
6 -4 3 ffffff
7 -4 3 ffffff
8 -4 3 ffffff
3 -3 3 9badb7
4 -3 3 ffffff
5 -3 3 ffffff
6 -3 3 ffffff
7 -3 3 ffffff
8 -3 3 ffffff
3 -2 3 9badb7
4 -2 3 ffffff
5 -2 3 ffffff
6 -2 3 ffffff
7 -2 3 ffffff
8 -2 3 ffffff
3 -1 3 9badb7
4 -1 3 ffffff
5 -1 3 ffffff
6 -1 3 ffffff
7 -1 3 ffffff
8 -1 3 ffffff
9 -1 3 ffffff
3 -6 4 9badb7
4 -6 4 ffffff
5 -6 4 ffffff
6 -6 4 ffffff
7 -6 4 ffffff
8 -6 4 ffffff
9 -6 4 ffffff
9 -5 4 ffffff
9 -4 4 ffffff
9 -3 4 ffffff
9 -2 4 ffffff
9 -1 4 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-5 0 1 ffffff
-4 0 1 ffffff
-3 0 1 ffffff
-2 0 1 ffffff
-1 0 1 ffffff
0 0 0 ffffff
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
5 1 0 ffffff
6 1 0 ffffff
7 1 0 ffffff
8 1 0 ffffff
9 1 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
5 2 0 ffffff
6 2 0 ffffff
7 2 0 ffffff
8 2 0 ffffff
9 2 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
5 3 0 ffffff
6 3 0 ffffff
7 3 0 ffffff
8 3 0 ffffff
9 3 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
5 4 0 ffffff
6 4 0 ffffff
7 4 0 ffffff
8 4 0 ffffff
9 4 0 ffffff
3 5 0 ffffff
4 5 0 ffffff
5 5 0 ffffff
6 5 0 ffffff
7 5 0 ffffff
8 5 0 ffffff
9 5 0 ffffff
3 6 0 ffffff
4 6 0 ffffff
5 6 0 ffffff
6 6 0 ffffff
7 6 0 ffffff
8 6 0 ffffff
9 6 0 ffffff
3 7 0 ffffff
4 7 0 ffffff
5 7 0 ffffff
6 7 0 ffffff
7 7 0 ffffff
8 7 0 ffffff
9 7 0 ffffff
3 8 0 ffffff
4 8 0 ffffff
5 8 0 ffffff
6 8 0 ffffff
7 8 0 ffffff
8 8 0 ffffff
9 8 0 ffffff
0 0 1 ffffff
1 0 1 ffffff
2 0 1 ffffff
3 0 1 ffffff
3 1 1 ffffff
4 1 1 ffffff
5 1 1 ffffff
6 1 1 ffffff
7 1 1 ffffff
8 1 1 ffffff
9 1 1 ffffff
3 2 1 ffffff
4 2 1 847e87
5 2 1 847e87
6 2 1 847e87
7 2 1 847e87
8 2 1 847e87
9 2 1 ffffff
3 3 1 ffffff
9 3 1 ffffff
3 4 1 ffffff
9 4 1 ffffff
3 5 1 ffffff
9 5 1 ffffff
3 6 1 ffffff
9 6 1 ffffff
3 7 1 ffffff
9 7 1 ffffff
3 8 1 ffffff
4 8 1 ffffff
5 8 1 ffffff
6 8 1 ffffff
7 8 1 ffffff
8 8 1 ffffff
9 8 1 ffffff
1 0 2 9badb7
2 0 2 ffffff
3 0 2 ffffff
9 0 2 ffffff
3 1 2 ffffff
4 1 2 847e87
5 1 2 847e87
6 1 2 847e87
7 1 2 847e87
8 1 2 847e87
9 1 2 ffffff
3 2 2 847e87
9 2 2 847e87
2 0 3 9badb7
3 0 3 ffffff
4 0 3 847e87
5 0 3 847e87
6 0 3 847e87
7 0 3 847e87
8 0 3 847e87
9 0 3 ffffff
3 1 3 847e87
9 1 3 847e87
3 0 4 76428a
9 0 4 847e87
